"id","age","gender","education","marital_status","income","happiness","class_identity"
665,20,"女","高卒","既婚",250,8,6
666,45,"男","高卒","既婚",396,5,4
667,48,"女","高卒","既婚",241,7,6
668,43,"男","高卒","未婚",303,5,4
669,54,"女","高卒","既婚",445,7,5
670,60,"女","大卒","未婚",534,8,8
671,37,"女","大卒","既婚",647,8,9
672,41,"女","高卒","既婚",293,6,3
673,51,"男","高卒","未婚",370,4,6
674,37,"女","中卒","既婚",378,8,3
675,46,"女","中卒","既婚",210,8,5
676,20,"女","大卒","既婚",534,9,6
677,28,"女","中卒","既婚",248,9,3
678,25,"男","大卒","未婚",570,3,9
679,32,"女","高卒","既婚",485,8,6
680,35,"女","高卒","既婚",283,5,3
681,51,"女","大卒","既婚",548,9,8
682,60,"女","中卒","既婚",384,8,4
683,34,"男","高卒","既婚",398,6,6
684,30,"男","中卒","未婚",246,5,4
685,29,"女","高卒","既婚",418,10,4
686,39,"男","高卒","未婚",325,5,4
687,41,"女","大卒","未婚",676,5,8
688,52,"男","中卒","未婚",167,7,3
689,40,"女","大卒","既婚",295,9,3
690,20,"男","高卒","既婚",300,6,4
691,44,"女","高卒","既婚",477,10,6
692,63,"女","高卒","既婚",387,7,6
693,63,"女","高卒","既婚",507,6,7
694,33,"男","高卒","既婚",448,7,6
695,22,"男","高卒","既婚",310,8,4
696,69,"男","高卒","未婚",591,8,5
697,43,"女","大卒","既婚",475,9,6
698,44,"男","大卒","既婚",681,10,9
699,51,"男","高卒","既婚",419,8,4
700,21,"男","高卒","既婚",253,8,5
701,34,"女","高卒","既婚",443,9,7
702,22,"男","高卒","未婚",264,6,5
703,35,"女","中卒","未婚",208,5,4
704,47,"男","高卒","既婚",197,6,3
705,25,"女","中卒","既婚",150,5,2
706,54,"男","大卒","未婚",586,7,7
707,49,"男","高卒","既婚",338,8,3
708,31,"男","高卒","未婚",507,5,6
709,48,"男","大卒","未婚",456,5,7
710,56,"女","高卒","未婚",457,5,5
711,61,"男","高卒","未婚",503,6,6
712,42,"女","高卒","既婚",409,10,7
713,44,"女","中卒","未婚",339,5,4
714,44,"女","大卒","既婚",550,7,8
715,67,"女","大卒","既婚",573,8,6
716,62,"男","高卒","既婚",285,6,4
717,58,"女","大卒","既婚",561,10,7
718,41,"女","中卒","既婚",339,7,5
719,51,"男","高卒","既婚",387,9,6
720,51,"男","大卒","未婚",577,8,7
721,29,"男","中卒","未婚",281,7,4
722,20,"女","高卒","既婚",382,5,4
723,55,"男","高卒","未婚",464,4,6
724,22,"男","中卒","既婚",264,7,1
725,45,"男","高卒","未婚",372,6,6
726,49,"男","大卒","未婚",570,6,8
727,53,"男","高卒","既婚",352,7,5
728,48,"女","高卒","既婚",408,10,8
729,34,"女","高卒","既婚",508,7,5
730,60,"女","高卒","未婚",351,5,7
731,69,"女","中卒","既婚",346,10,5
732,58,"男","大卒","未婚",419,7,10
733,20,"男","高卒","未婚",429,7,7
734,66,"女","高卒","既婚",419,6,6
735,44,"男","高卒","既婚",462,9,6
736,53,"女","中卒","未婚",238,8,4
737,54,"男","中卒","未婚",294,7,5
738,44,"男","高卒","未婚",408,4,6
739,44,"男","中卒","既婚",367,9,6
740,60,"男","高卒","未婚",197,5,4
741,56,"女","中卒","既婚",315,10,7
742,60,"女","高卒","既婚",497,9,5
743,69,"女","中卒","既婚",365,8,2
744,55,"女","高卒","未婚",384,9,7
745,48,"男","大卒","既婚",480,9,4
746,20,"男","大卒","未婚",485,7,7
747,69,"女","高卒","未婚",373,5,4
748,38,"女","高卒","既婚",391,9,7
749,69,"女","大卒","未婚",636,8,8
750,51,"男","高卒","未婚",340,5,4
751,68,"男","中卒","未婚",388,6,6
752,43,"女","高卒","未婚",427,6,5
753,53,"女","中卒","未婚",382,4,5
754,48,"男","高卒","未婚",477,7,7
755,42,"女","高卒","未婚",435,4,4
756,43,"女","大卒","既婚",696,9,8
757,60,"女","大卒","未婚",586,5,3
758,42,"男","高卒","既婚",439,9,5
759,20,"男","大卒","既婚",428,9,8
760,42,"女","高卒","既婚",459,10,7
761,53,"男","高卒","既婚",363,6,6
762,54,"女","中卒","既婚",351,9,5
763,54,"男","高卒","既婚",358,7,6
764,20,"女","中卒","未婚",257,6,2
765,51,"男","大卒","既婚",561,7,6
766,60,"女","中卒","既婚",311,8,3
767,64,"男","高卒","未婚",497,5,6
768,42,"女","中卒","未婚",220,5,4
769,40,"男","大卒","既婚",526,9,7
770,67,"男","高卒","未婚",354,2,5
771,20,"女","大卒","未婚",422,6,8
772,38,"女","中卒","未婚",263,5,6
773,52,"女","中卒","未婚",283,7,2
774,21,"女","高卒","未婚",199,7,5
775,49,"男","高卒","既婚",486,6,5
776,69,"男","大卒","既婚",541,10,9
777,45,"男","中卒","既婚",391,9,6
778,41,"女","高卒","既婚",426,10,7
779,52,"女","高卒","未婚",379,5,3
780,41,"女","大卒","未婚",575,10,7
781,57,"女","高卒","既婚",592,10,8
782,59,"男","高卒","既婚",307,9,3
783,45,"女","中卒","既婚",240,5,2
784,27,"男","高卒","既婚",420,7,5
785,25,"男","中卒","未婚",168,6,2
786,36,"男","高卒","既婚",536,6,7
787,57,"男","高卒","未婚",349,6,4
788,20,"女","高卒","未婚",348,8,4
789,20,"男","大卒","既婚",590,8,5
790,35,"男","大卒","既婚",616,8,8
791,51,"女","高卒","既婚",474,10,6
792,31,"女","高卒","既婚",545,7,4
793,58,"男","高卒","未婚",353,7,7
794,50,"女","中卒","既婚",412,9,3
795,42,"男","高卒","未婚",483,4,6
796,57,"女","中卒","既婚",395,5,5
797,51,"男","高卒","未婚",278,7,3
798,38,"男","大卒","既婚",738,8,7
799,48,"女","大卒","未婚",447,10,8
800,55,"男","高卒","既婚",505,8,5
801,50,"女","中卒","既婚",286,7,4
802,35,"男","大卒","既婚",523,5,8
803,58,"女","高卒","既婚",464,7,6
804,62,"女","高卒","既婚",489,6,5
805,49,"男","高卒","既婚",422,10,5
806,47,"男","大卒","既婚",781,7,6
807,44,"女","中卒","既婚",377,9,5
808,69,"男","高卒","既婚",529,10,9
809,49,"男","高卒","未婚",314,5,4
810,43,"男","高卒","既婚",400,8,4
811,20,"男","高卒","未婚",150,4,6
812,22,"女","大卒","既婚",365,8,7
813,44,"男","大卒","既婚",435,7,9
814,48,"男","高卒","既婚",393,6,6
815,49,"男","高卒","既婚",384,8,6
816,57,"女","大卒","未婚",650,6,8
817,42,"女","高卒","既婚",330,5,3
818,63,"男","高卒","未婚",370,7,5
819,31,"女","中卒","既婚",282,8,5
820,27,"男","高卒","既婚",426,5,8
821,27,"男","中卒","既婚",231,6,5
822,56,"女","大卒","既婚",670,10,10
823,44,"男","高卒","既婚",546,6,6
824,57,"男","大卒","未婚",440,7,5
825,41,"女","大卒","既婚",394,7,5
826,36,"女","大卒","既婚",403,6,4
827,39,"男","高卒","未婚",457,7,3
828,20,"女","大卒","既婚",497,4,6
829,27,"男","大卒","既婚",793,8,7
830,23,"女","高卒","既婚",361,7,7
831,61,"男","中卒","既婚",361,8,2
832,36,"男","高卒","既婚",150,7,4
833,57,"男","大卒","既婚",510,8,6
834,68,"男","高卒","既婚",477,10,6
835,42,"女","高卒","既婚",483,10,7
836,49,"女","中卒","既婚",213,10,2
837,20,"男","高卒","未婚",470,4,5
838,33,"女","高卒","未婚",315,5,4
839,46,"男","大卒","既婚",671,6,6
840,49,"男","大卒","未婚",576,6,7
841,34,"女","高卒","既婚",370,8,4
842,69,"女","高卒","既婚",451,8,4
843,38,"男","中卒","既婚",346,7,3
844,46,"男","高卒","既婚",409,7,5
845,55,"男","高卒","既婚",356,7,5
846,45,"男","大卒","未婚",552,5,6
847,35,"男","大卒","既婚",587,7,10
848,61,"女","高卒","未婚",408,5,3
849,69,"女","高卒","未婚",464,6,5
850,45,"女","中卒","既婚",357,5,3
851,53,"男","中卒","既婚",380,9,6
852,44,"女","高卒","未婚",385,9,7
853,60,"女","大卒","既婚",595,6,3
854,28,"女","高卒","既婚",608,10,5
855,69,"男","大卒","既婚",686,8,5
856,36,"女","高卒","既婚",500,8,8
857,23,"女","大卒","既婚",582,8,7
858,40,"男","高卒","未婚",382,7,6
859,47,"女","高卒","未婚",212,6,4
860,69,"男","大卒","既婚",697,7,5
861,59,"男","高卒","既婚",372,8,2
862,47,"女","大卒","未婚",572,8,8
863,24,"女","中卒","未婚",286,6,4
864,32,"女","大卒","既婚",333,6,5
865,43,"男","大卒","既婚",493,5,5
866,69,"男","大卒","未婚",550,8,8
867,20,"男","高卒","既婚",362,7,3
868,62,"男","大卒","既婚",560,7,7
869,37,"女","大卒","既婚",703,9,9
870,69,"女","中卒","既婚",315,6,3
871,28,"男","高卒","未婚",349,6,3
872,47,"女","大卒","未婚",507,7,10
873,29,"女","高卒","未婚",457,4,5
874,59,"女","高卒","既婚",542,7,8
875,67,"男","中卒","既婚",271,5,3
876,69,"男","高卒","既婚",775,7,8
877,57,"女","高卒","既婚",424,10,6
878,69,"女","大卒","既婚",544,10,5
879,64,"女","高卒","既婚",425,9,4
880,43,"男","大卒","既婚",358,7,9
881,52,"女","中卒","既婚",376,9,4
882,30,"男","高卒","既婚",283,5,6
883,42,"男","高卒","未婚",542,4,3
884,63,"男","大卒","既婚",564,3,8
885,53,"女","中卒","既婚",316,8,4
886,52,"男","高卒","既婚",445,8,5
887,29,"男","高卒","既婚",314,6,4
888,36,"女","高卒","既婚",314,8,4
889,34,"男","大卒","未婚",360,6,6
890,51,"男","高卒","未婚",325,6,2
891,30,"女","大卒","未婚",415,8,5
892,53,"男","高卒","既婚",354,9,5
893,28,"女","高卒","既婚",419,9,5
894,69,"女","高卒","既婚",525,9,6
895,52,"女","高卒","既婚",574,7,5
896,34,"女","大卒","未婚",489,6,8
897,49,"男","高卒","未婚",458,6,5
898,40,"男","高卒","既婚",358,7,5
899,51,"女","中卒","既婚",347,9,5
900,49,"女","高卒","既婚",244,5,8
901,30,"男","大卒","未婚",447,4,7
902,33,"男","高卒","未婚",298,6,6
903,49,"男","大卒","未婚",757,5,7
904,69,"女","高卒","未婚",337,8,5
905,61,"男","高卒","既婚",777,8,6
906,36,"男","高卒","既婚",304,3,6
907,57,"男","高卒","既婚",396,7,5
908,44,"女","大卒","未婚",550,7,8
909,50,"女","中卒","未婚",224,5,8
910,49,"男","大卒","既婚",689,6,7
911,69,"男","高卒","既婚",409,7,6
912,27,"女","大卒","未婚",461,9,5
913,47,"男","大卒","未婚",626,6,6
914,20,"女","高卒","既婚",504,10,7
915,54,"男","大卒","既婚",723,10,8
916,61,"男","大卒","既婚",504,6,7
917,67,"男","高卒","未婚",467,8,4
918,20,"男","高卒","未婚",311,6,4
919,51,"男","中卒","既婚",350,8,3
920,69,"男","中卒","既婚",403,10,5
921,39,"女","高卒","既婚",434,9,4
922,42,"男","大卒","既婚",528,7,6
923,44,"男","中卒","既婚",347,5,4
924,50,"女","高卒","既婚",440,8,5
925,55,"男","高卒","既婚",453,8,5
926,65,"女","高卒","未婚",482,9,3
927,44,"男","中卒","既婚",185,9,4
928,48,"男","大卒","既婚",628,8,8
929,69,"男","高卒","未婚",509,7,8
930,51,"男","中卒","未婚",337,7,2
931,48,"女","大卒","既婚",825,10,10
932,25,"女","中卒","既婚",383,8,3
933,45,"女","大卒","未婚",647,7,7
934,42,"女","高卒","未婚",495,5,4
935,45,"男","高卒","未婚",357,6,7
936,36,"女","大卒","既婚",517,8,7
937,35,"男","高卒","未婚",383,6,5
938,34,"女","高卒","既婚",271,7,5
939,42,"女","大卒","既婚",363,7,10
940,66,"男","大卒","既婚",759,10,7
941,61,"女","中卒","既婚",317,7,5
942,40,"男","高卒","既婚",283,9,5
943,20,"女","高卒","既婚",252,6,5
944,32,"女","高卒","既婚",460,5,7
945,38,"女","高卒","未婚",378,6,5
946,47,"男","大卒","既婚",560,9,7
947,35,"女","中卒","既婚",243,7,4
948,69,"男","中卒","既婚",451,5,4
949,41,"女","高卒","既婚",323,7,7
950,27,"女","高卒","未婚",212,6,7
951,43,"女","大卒","未婚",502,9,6
952,30,"男","中卒","既婚",359,9,1
953,47,"男","大卒","未婚",514,8,10
954,49,"女","高卒","未婚",350,7,5
955,50,"女","高卒","既婚",394,6,3
956,21,"男","高卒","未婚",379,7,4
957,48,"女","高卒","既婚",320,9,3
958,50,"男","高卒","既婚",203,8,4
959,24,"女","大卒","未婚",521,9,6
960,59,"女","高卒","既婚",238,8,6
961,57,"男","大卒","未婚",516,8,10
962,69,"女","大卒","未婚",440,9,8
963,47,"男","中卒","既婚",235,5,4
964,46,"女","大卒","既婚",688,10,9
965,46,"男","高卒","既婚",314,8,3
966,46,"女","高卒","既婚",481,9,4
967,20,"男","高卒","既婚",353,7,5
968,20,"女","高卒","既婚",399,6,5
969,44,"女","中卒","既婚",319,6,3
970,36,"女","高卒","既婚",407,8,6
971,46,"男","高卒","未婚",447,6,4
972,20,"女","中卒","既婚",255,9,5
973,23,"女","大卒","未婚",725,7,7
974,28,"女","大卒","未婚",711,7,7
975,60,"女","中卒","既婚",187,9,3
976,29,"女","大卒","未婚",629,7,9
977,33,"男","高卒","既婚",470,7,6
978,46,"女","中卒","未婚",235,7,4
979,40,"男","中卒","既婚",279,9,5
980,47,"女","大卒","既婚",461,6,5
981,69,"男","高卒","未婚",481,6,7
982,28,"女","大卒","既婚",385,7,6
983,40,"女","大卒","既婚",710,9,6
984,37,"女","高卒","未婚",369,7,4
985,68,"女","大卒","既婚",628,9,7
986,33,"男","中卒","既婚",313,9,6
987,44,"男","高卒","未婚",260,5,1
988,57,"女","高卒","既婚",386,8,4
989,29,"女","高卒","既婚",573,9,4
990,69,"男","高卒","既婚",462,7,6
991,55,"男","大卒","未婚",429,7,6
992,29,"女","高卒","既婚",457,10,7
993,52,"男","大卒","未婚",564,5,9
994,42,"女","中卒","未婚",443,8,6
995,50,"男","大卒","既婚",636,8,10
996,44,"女","高卒","既婚",383,6,3
997,61,"男","大卒","未婚",679,7,7
998,25,"女","大卒","既婚",494,8,8
999,37,"女","高卒","未婚",397,5,4
1000,41,"男","高卒","既婚",329,7,3
